Date,Shift,Factory,Machine No,Issues,Root Cause,Correction ,Corrective Action,,,
29/5/2025,Night B,Toptea,,"Intermittent illegible across the lanes of MC 538, 539",Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
30/5/2025,Day A,Chocolate,,"Intermittent illegible across the lanes of MC 587, 585",Dusty laser tube,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
06/02/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
06/02/2025,Night B,Toptea,,Poor sealing of boxes on bradmanlake machine 542,Gum noozle not injecting gum at intervals,Still Pending,Still Pending,,,
06/02/2025,Night B,Toptea,,Persistent low weight on lane 1&2 of MC 538,Blocked dosing cups,Airblowing of the dosing cups at intervals,Airblowing of the dosing cups at intervals,,,
06/03/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
06/04/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
06/08/2025,Day B,Toptea,,Product pusher jam,Faulty product barrel sensor,The barrel sensor was fixed,The barrel sensor was fixed,,,
06/11/2025,Day A,Toptea,,Product pusher jam,Faulty product barrel sensor,The barrel sensor was fixed,The barrel sensor was fixed,,,
06/11/2025,Day A,Coffee Annex,,illegible code detected on Lanes 1-5 of machine 616,Dirt on laser coding unit,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
06/11/2025,Day A,Coffee Annex,,Persistent overlapping detected on Lanes 1 & 5 of machine 607,Poor reel tensioning,Intervention still ongoing,Intervention still ongoing,,,
06/11/2025,Day A,Milk,,Persistent sealing leakages on lanes 2 & 3 of machine 567,Product entrapment on the sealing jaw.,Airblowing of the dosing cups at intervals,Airblowing of the dosing cups at intervals,,,
06/12/2025,Day A,Milk,,Persistent eyeshift across all lanes of machine 566 and 569.,Not yet ascertained.,Continous adjustment of reel for good tensioning.,Continous adjustment of reel for good tensioning.,,,
14/6/2025,Night B,Onga Powder,,Poor vertical and horizontal perforation across all lanes on Unipack 1,Not yet ascertained.,Continous adjustment of machine perforation parameters,Continous adjustment of machine perforation parameters,,,
14/6/2025,Night B,Toptea,,Empty boxes experienced on bradmanlake machine 542,Faulty product inserter,Still Pending,Still Pending,,,
14/6/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
15/6/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
16/6/2025,Night B,Onga Powder,,Poor horizontal perforation across lane1- 6 on Unipack 1,Loosened bolt of horizontal perforation knife,The loosed bolts were tightened,The loosed bolts were tightened,,,
16/6/2025,Night B,Onga Powder,,Poor horizontal perforation across lane1- 6 on Unipack 1,Malfunctioning photocell sensor,The machine parameter settings was adjusted,The machine parameter settings was adjusted,,,
17/6/2025,Day A,Coffee Annex,,Vertical seal leakages detected on Lanes 2-3 of machine 607,Drop in vertical sealing temperature/Product entrapment on the sealing jaw,Temperature parameter was adjusted and air-blowing of the dosing cups at intervals,Temperature parameter was adjusted and air-blowing of the dosing cups at intervals,,,
17/6/2025,Day A,Coffee Annex,,Low weight/empty sachets detected on Lanes 1-5 of machine 606,Worn out long belt/faulty scrapper,The long belt was changed and the scrapper fixed,The long belt was changed and the scrapper fixed,,,
20/6/2025,Night B,Onga Powder,,Poor horizontal perforation across all lanes on Unipack 1,Loosened bolt of horizontal perforation knife,The loosed bolts were tightened,The loosed bolts were tightened,,,
20/6/2025,Night B,Onga Powder,,Poor horizontal perforation across all lanes on Unipack 1,Malfunctioning photocell sensor,The machine parameter settings was adjusted,The machine parameter settings was adjusted,,,
21/6/2025,Day B,Toptea,,Persistent illegible code across lanes on Machines 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
21/6/2025,Day B,Toptea,,Poor horizontal cutting into Pouches on machine 544,Damaged air hose,Damaged air hose replaced,Damaged air hose replaced,,,
21/6/2025,Night B,Onga Powder,,Persistent horizontal jaw jamming resulting in horizontal leakage across all lanes on Unipack 1,Horizontal jaw misalignment,The sealing jaw was unmounted and jaw parameter settings was adjusted,The sealing jaw was unmounted and jaw parameter settings was adjusted,,,
21/6/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
22/6/2025,Night B,Onga Powder,,Poor horizontal perforation detected on lane 1 and 10 of Unipack 1,Work Loosed bolt of horizontal perforation knife,The loosed bolts were tightened,The loosed bolts were tightened,,,
22/6/2025,Night B,Onga Powder,,Poor dosage of products resulting in low weights and empty satchet on lane 5 and 6 of Unipack 2,Blocked dosing cups,The clogged powder blocking the dosing cups was removed,The clogged powder blocking the dosing cups was removed,,,
2/72025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
07/02/2025,Night B,Toptea,,Persistent low weight on lane 1&2 of MC 539,Blocked dosing cups,Airblowing of the dosing cups at intervals,Airblowing of the dosing cups at intervals,,,
07/02/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
07/03/2025,Night B,Onga Powder,,Horizontal sealing leakage on lane 1-5,Not yet ascertained,Engineering intervention ongoing,Engineering intervention ongoing,,,
07/04/2025,Day B,Onga Powder,,Horizontal sealing leakage on lane 1-5,Not yet ascertained,Engineering intervention ongoing,Engineering intervention ongoing,,,
07/04/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
07/08/2025,Night B,Onga Powder,,Horizontal sealing leakages across all on lanes on Unipack 1,Misaligned horizontal perforation knife,The perforation knife was realigned,The perforation knife was realigned,,,
07/08/2025,Night B,Onga Powder,,Poor dosage of products across all lanes on Unipack 2,Blocked dosing cups,The powder blocking the dosing cups were removed,The powder blocking the dosing cups were removed,,,
07/08/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
07/08/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
07/09/2025,Night B,Onga Powder,,Vertical sealing leakages across all on lanes on Unipack 3,Insufficient sealing jaw pressure,The pressure of the sealing jaws was increased,The pressure of the sealing jaws was increased,,,
07/09/2025,Night B,Toptea,,Poor product dosage resulting to low weight on lane 1&3 on MC 545,Blocked dosing cups,Air blowing of dosing cups at intervals,Air blowing of dosing cups at intervals,,,
07/09/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
07/10/2025,Night B,Toptea,,Poor product dosage resulting to low weight on lane 1&3 of MC 545,Blocked dosing cups,Air blowing of dosing cups at intervals,Air blowing of dosing cups at intervals,,,
14/7/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
14/7/2025,Night B,Toptea,,Poor product dosage resultng to low weight across lanes on MC 538,Blocked dosing cups,Air blowing of dosing cups at intervals,Air blowing of dosing cups at intervals,,,
14/7/2025,Night B,Onga Powder,,Horizontal sealing leakages across lane 3 -5 on Unipack 3,Drop in sealing jaw temperature due to malfunctioning heating element,The temperature parameter of the sealing jaws was increased,The temperature parameter of the sealing jaws was increased,,,
14/7/2025,Night B,Onga Powder,,Non -cutting of filled laminate into product panels on Unipack 1,Misaligned horizontal  sealing jaws,The horizontal sealing jaws was re-aligned,The horizontal sealing jaws was re-aligned,,,
15/7/2025,Night B,Toptea,,Teabags sealing leakages experienced on lanes 1-3,Insuffucient sealing temperature,The temperature parameter of the machine was increased,The temperature parameter of the machine was increased,,,
15/7/2025,Night B,Onga Powder,,Horizontal sealing leakages detected across all lanes on Unipack 1,Misaligned horizontal perforation knife,The horizontal perforation knife was adjusted,The horizontal perforation knife was adjusted,,,
17/7/2025,DAY A,Twisco,,Horizontal sealing leakages detected on lane 5 of machine 613,Inconsistency of the dosing speed ,The dosing speed parameter was adjusted,The dosing speed parameter was adjusted,,,
19/7/2025,DAY A,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
20/7/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
21/7/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
22/7/2025,Night B,Toptea,,Poor product dosage resultng to low weight on lane 1&3 of MC 545,Blocked dosing cups,Air blowing of dosing cups at intervals,Air blowing of dosing cups at intervals,,,
22/7/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
22/7/2025,Night B,Toptea,,Poor product dosage resultng to low weight on lane 3 of MC 538,Blocked dosing cups,Air blowing of dosing cups at intervals,Air blowing of dosing cups at intervals,,,
25/7/2025,DAY A,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
26/7/2025,Night B,Toptea,,Poor product dosage resulting to low weight on lane 1&2 on MC 545 ,Blocked dosing cups,Air blowing of dosing cups at intervals,Air blowing of dosing cups at intervals,,,
26/7/2025,Night B,Toptea,,Persistent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
26/7/2025,Night B,Onga Powder,,Poor Horizontal Perforation  detected across on lane 4 & 5 Unipack 3,Misaligned horizontal perforation knife,The horizontal perforation knife was adjusted,The horizontal perforation knife was adjusted,,,
26/7/2025,Night B,Onga Powder,,"Poor vertical Perforation  detected on lane 7 & 8,Unipack 1",Work loosed bolts of vertical perforation knife,The vertical perforation knife bolts was tightened,The vertical perforation knife bolts was tightened,,,
27/7/2025,Night B,Toptea,,Poor product dosage resulting to low weight on lane 1&2 on MC 545 ,Blocked dosing cups,Air blowing of dosing cups at intervals,Air blowing of dosing cups at intervals,,,
28/7/2025,Night B,Onga Powder,,Poor vertical Perforation  detected across all lane Unipack 1,Malfunctionig ball bearing of vertical perforation knife,The ball bearing vertical perforation knife was replaced,The ball bearing vertical perforation knife was replaced,,,
28/7/2025,Night B,Onga Powder,,Poor horizontal Perforation  detected across all lane Unipack 2,Not yet ascertained,Engineering intervention ongoing,Engineering intervention ongoing,,,
31/7/2025,DAY A,Coffee,,Horizontal sealing leakages across lane 3 -5 on Unipac 611,Insufficient sealing jaw pressure,The pressure of the sealing jaws was increased,The pressure of the sealing jaws was increased,,,
08/01/2025,Night B,Toptea,,Intermittent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
08/01/2025,Night B,Toptea,,Persistent low weight on lane 1&2 of MC 539,Blocked dosing cups,Airblowing of the dosing cups at intervals,Airblowing of the dosing cups at intervals,,,
08/02/2025,Night B,Toptea,,Intermittent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
08/02/2025,Night B,Toptea,,Persistent low weight on lane 1&2 of MC 539,Blocked dosing cups,Airblowing of the dosing cups at intervals,Airblowing of the dosing cups at intervals,,,
08/07/2025,Night B,Onga Powder,,Poor vertical perforation detected across all lanes on unipack 1,Broken ball bearing of vertical perforation knife,The broken ball bearing was replaced,The broken ball bearing was replaced,,,
08/07/2025,Night B,Toptea,,Intermittent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
08/07/2025,Night B,Toptea,,Persistent low weight across the lanes on MC 539,Blocked dosing cups,Airblowing of the dosing cups at intervals,Airblowing of the dosing cups at intervals,,,
13/8/2025,Night B,Onga Powder,,Horizontal sealing leakages detected across all lanes on unipack 1,Misaligned horizontal final cutting blade,The final cutting blade was adjusted,The final cutting blade was adjusted,,,
14/8/2025,Night B,Toptea,,Intermittent illegible code across lanes on MC 538 &539,Poor ink quality in cartridge,Continous cleaning of print head at intervals,Continous cleaning of print head at intervals,,,
14/8/2025,Night B,Toptea,,Persistent low weight experienced on lane 2 of MC 545,Blocked dosing head /cup,Airblowing of the dosing cup at intervals,Airblowing of the dosing cup at intervals,,,
17/08/2025,Day A,Coffee,,"Persistent vertical and horizontal sealing leakages experienced across all lanes of machines 580,578, & 582.",Extractor inefficiency leading to product entrapment on the sealing band.,Continous cleaning of sealing jaws at intervals,Continous cleaning of sealing jaws at intervals,,,
17/08/2025,Day A,Coffee Annex,,Persistent vertical and horizontal sealing leakages experienced across all lanes of machines 607 & 616.,Extractor inefficiency leading to product entrapment on the sealing band.,Continous cleaning of sealing jaws at intervals,Continous cleaning of sealing jaws at intervals,,,
17/08/2025,Day A,Milk,,"Vertical seal leakages detected on Lanes 1 & 5 of machine 569, 566, 604", Product entrapment on the sealing band.,Airblowing of the dosing cups at intervals,Airblowing of the dosing cups at intervals,,,
03/01/23,NB,ONGA 4,ILA 72,VERTICAL SEALING,HEATER,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
03/01/23,NB,ONGA 4,IMA 69,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
03/01/23,NB,ONGA 4,ILA 70,VERTICAL SEALING,JAW FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
03/01/23,NB,ONGA 3,IMA 49,BAD WRAPS,FAULTY LINE PUSHER/FOLDING BLOCK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
05/01/23,NA,ONGA 2,ILA 25,FAULTY HORIZONTAL SEALING JAW,MECHANICAL PROBLEM,ENGINEERING OBSERVATION STILL ON GOING.,ENGINEERING OBSERVATION STILL ON GOING.,,,
05/01/23,NA,ONGA 2,IMA 28,BAD WRAPS,REEL MISALIGNMENT ,OPERATIVE ALIGNED THE REEL PROPERLY ON THE IMA MACHINE,OPERATIVE ALIGNED THE REEL PROPERLY ON THE IMA MACHINE,,,
05/01/23,NA,ONGA 1,ILA 20,POOR HORIZONTAL SEAL,HEATER MALFUNCTION,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
05/01/23,NA,ONGA 1 ,IMA 16,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
05/01/23,NA,ONGA 1 ,IMA 18,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
05/01/23,NA,ONGA 1 ,IMA 06,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
05/01/23,NA,ONGA 1 ,IMA 12,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
05/01/23,NA,ONGA3,IMA 43,MACHINE POOR FUNCTION,BROKEN PRESS BEARING AND CAM SUPPORT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
05/01/23,NA,ONGA 3,ILA 53,EYESHIFT,REEL ,OPERATIVE CHANGED THE REEL,OPERATIVE CHANGED THE REEL,,,
06/01/23,DA,ONGA 1 ,IMA 06,BAD WRAPS,REEL MISALIGNMENT ,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
06/01/23,DA,ONGA 1,IMA 02,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
06/01/23,DA,ONGA 1 ,IMA 03,BAD WRAPS,ELEVATOR FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
06/01/23,DA,ONGA 1 ,IMA 18,BAD WRAPS,"KNIFE FAULT, ELEVATOR FAULT",THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
06/01/23,DA,ONGA 1 ,IMA 12,BAD WRAPS/EYESHIFT,REEL MISALIGNMENT ,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
06/01/23,DA,ONGA 1,IMA 17,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
06/01/23,DA,ONGA 2,ILA 25,FAULTY HORIZONTAL SEALING JAW,MECHANICAL PROBLEM,ENGINEERING OBSERVATION STILL ON GOING.,ENGINEERING OBSERVATION STILL ON GOING.,,,
06/01/23,DA,ONGA 2,IMA 34,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
06/01/23,DA,ONGA 2,IMA 35,BAD WRAPS,LOW WELDER TEMPERATURE,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
06/01/23,ONGA 1 ,ONGA 1 ,IMA 02,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
06/01/23,ONGA 1 ,ONGA 1 ,IMA 03,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
06/01/23,ONGA 1 ,ONGA 1 ,IMA 06,BAD WRAPS,REEL PULL BACK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
06/01/23,NA,ONGA 4,ILA 70,POOR PERFORATION,MACHINE PROBLEM,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
06/01/23,NA,ONGA 3,"IMA 49, 51",BAD WRAPS,"KNIFE FAULT, ELEVATOR FAULT",THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/07/2023,DA,ONGA 2,ILA 25,FAULTY HORIZONTAL SEALING JAW,MECHANICAL PROBLEM,ENGINEERING OBSERVATION STILL ON GOING.,ENGINEERING OBSERVATION STILL ON GOING.,,,
01/07/2023,DA,ONGA 2,IMA 31,BAD WRAPS,REEL PULL BACK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/07/2023,DA,ONGA 2,IMA 34,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/07/2023,DA,ONGA 2,ILA 26,POOR VERTICAL SEALING,FAULTY JAW,ENGINEERING OBSERVATION STILL ON GOING.,ENGINEERING OBSERVATION STILL ON GOING.,,,
01/07/2023,DA,ONGA 2,IMA 32,BAD WRAPS/EYESHIFT,REEL MISALIGNMENT ,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
7/1/2023,DA,ONGA 1 ,IMA 02,BAD WRAPS,SERVO SETTING/STIRRER CHAIN FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
7/1/2023,DA,ONGA 1 ,IMA 03,BAD WRAPS,STIRRER CHAIN FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
7/1/2023,DA,ONGA 1 ,IMA 05,BAD WRAPS,STAR WHEEL FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
7/1/2023,DA,ONGA 1 ,IMA 09,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
7/1/2023,DA,ONGA 1 ,IMA 17,BAD WRAPS,REEL PULL BACK,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
7/1/2023,DA,ONGA 1 ,IMA 12,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
7/1/2023,NA,ONGA 1 ,IMA 12,BAD WRAPS,KNIFE FAULT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
7/1/2023,NA,ONGA 1 ,IMA 14,BAD WRAPS,REEL PULL BACK,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
7/1/2023,NA,ONGA 1 ,IMA 18,BAD WRAPS,KNIFE FAULT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
7/1/2023,NA,ONGA 1 ,ILA 20,POOR HORIZONTAL SEAL,FAULTY JAW,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
7/1/2023,NA,ONGA 1 ,ILA 22,POOR VERTICAL SEALING,FAULTY JAW,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/07/2023,NA,ONGA 2,ILA 26,POOR VERTICAL SEALING,FAULTY JAW,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
08/01/23,DB,ONGA 2,IMA 29,BAD WRAPS,BROKEN ELEVATOR,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
08/01/23,NB,ONGA 2,IMA 32,BAD WRAPS,REEL PULL BACK,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
08/01/23,NB,ONGA 2,IMA 37,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
08/01/23,NB,ONGA 1 ,IMA 15,CONVEYOR BELT,MOTOR FAULT,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,,,
08/01/23,NB,ONGA 1 ,IMA 5,BAD WRAPS,STAR WHEEL FAULT/BAD ELEVATOR,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
08/01/23,NB,ONGA 1 ,IMA 2,BAD WRAPS,KNIFE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
08/01/23,NB,ONGA 1 ,ILA 21,SEALING ,SEALING JAW,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,,,
08/01/23,NB,ONGA 1 ,3M-MATIC,SEALING ,SEALING FAULT,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,,,
08/01/23,NB,ONGA 3,IMA 45,BAD WRAP,FAULTY LINE PORTION/INFEED GAP,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
08/01/23,NB,ONGA 3,IMA 49,PRESS FAULT,FAULTY LINE PORTION/INFEED GAP,FAULTY STIRER,FAULTY STIRER,,,
09/01/23,DB,ONGA 1 ,ILA 21,SEALING ,SEALING JAW,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,,,
09/01/23,DB,ONGA 1 ,3M-MATIC,SEALING ,SEALING FAULT,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,,,
09/01/23,NB,ONGA 2,IMA 38,STIRRER ISSUE,FAULTY STIRRER,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
09/01/23,NB,ONGA 2,IMA 34,BAD WRAPS,REEL PULL BACK,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
01/09/2023,NB,ONGA 1,ILA 21,SEALING ,SEALING JAW,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,,,
01/09/2023,NB,ONGA 1,3M-MATIC,SEALING ,SEALING FAULT,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,,,
01/09/2023,NB,ONGA 1,IMA 15,CONVEYOR BELT,MOTOR FAULT,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,,,
01/09/2023,NB,ONGA 1,IMA 15,BAD WRAPS,SLITTING PLATE FAULT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/09/2023,NB,ONGA 1,ILA 20,VERTICAL SEALING,FLUCTUATION OF TEMPERATURE,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/09/2023,NB,ONGA 3,IMA 45,BAD WRAPS,FAULTY KNIFE,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/09/2023,NB,ONGA 3,IMA 65,BAD WRAPS,EXIST BELT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
01/09/2023,NB,ONGA 3,IMA 43,BAD WRAPS,LUNCHER RUBBER/ACCELERATOR BELT,THE ENGINEER WORKED ON THE MACHINE,THE ENGINEER WORKED ON THE MACHINE,,,
10/01/23,DB,ONGA 1 ,ILA 21,SEALING ,SEALING JAW,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,,,
10/01/23,DB,ONGA 1 ,3M-MATIC,SEALING ,SEALING FAULT,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,TROUBLE SHOOTING ONGOING BY THE ENGINEER.,,,
10/01/23,DB,ONGA 2,ILAPAK 25,POOR CODE ON POUCHES,BAD PRINTER RIBBON,"THE MACHINE WAS STOPPED, THE RIBBON WAS CHANGED AND AFFECTED PRODUCTS WERE RETRIEVED","THE MACHINE WAS STOPPED, THE RIBBON WAS CHANGED AND AFFECTED PRODUCTS WERE RETRIEVED",,,
10/01/23,NB,ONGA 2,IMA 35,NAKED CUBES,REEL PULL BACK,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
10/01/23,NB,ONGA 2,IMA 38,NAKED CUBES,REEL,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
10/01/23,NB,ONGA 1 ,IMA 15,BAD WRAPS,REEL PULL BACK,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
10/01/23,NB,ONGA 1 ,IMA 6,BAD WRAPS,KNIFE FAULT,THE OPERATOR WORKED ON THE MACHINE,THE OPERATOR WORKED ON THE MACHINE,,,
